"ItemId","Mod","Slot","SetKey","Category","SuggestedTier","Detection"
"apocalypsenow:brazilian_army_chestplate","apocalypsenow","chest","apocalypsenow:brazilian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:brazilian_army_helmet","apocalypsenow","head","apocalypsenow:brazilian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:brazilian_army_leggings","apocalypsenow","legs","apocalypsenow:brazilian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:british_army_boots","apocalypsenow","feet","apocalypsenow:british_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:british_army_chestplate","apocalypsenow","chest","apocalypsenow:british_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:british_army_helmet","apocalypsenow","head","apocalypsenow:british_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:british_army_leggings","apocalypsenow","legs","apocalypsenow:british_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:bulletproof_vest_chestplate","apocalypsenow","chest","apocalypsenow:bulletproof_vest","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:bvd_assault_vest_chestplate","apocalypsenow","chest","apocalypsenow:bvd_assault_vest","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:canadian_army_boots","apocalypsenow","feet","apocalypsenow:canadian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:canadian_army_chestplate","apocalypsenow","chest","apocalypsenow:canadian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:canadian_army_helmet","apocalypsenow","head","apocalypsenow:canadian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:canadian_army_leggings","apocalypsenow","legs","apocalypsenow:canadian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:chinese_army_boots","apocalypsenow","feet","apocalypsenow:chinese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:chinese_army_chestplate","apocalypsenow","chest","apocalypsenow:chinese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:chinese_army_helmet","apocalypsenow","head","apocalypsenow:chinese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:chinese_army_leggings","apocalypsenow","legs","apocalypsenow:chinese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:civilian_body_vest_chestplate","apocalypsenow","chest","apocalypsenow:civilian_body_vest","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:construction_boots","apocalypsenow","feet","apocalypsenow:construction","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:construction_chestplate","apocalypsenow","chest","apocalypsenow:construction","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:construction_helmet","apocalypsenow","head","apocalypsenow:construction","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:construction_leggings","apocalypsenow","legs","apocalypsenow:construction","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:contamination_suit_blue_chestplate","apocalypsenow","chest","apocalypsenow:contamination_suit_blue","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_blue_helmet","apocalypsenow","head","apocalypsenow:contamination_suit_blue","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_blue_leggings","apocalypsenow","legs","apocalypsenow:contamination_suit_blue","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_green_chestplate","apocalypsenow","chest","apocalypsenow:contamination_suit_green","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_green_helmet","apocalypsenow","head","apocalypsenow:contamination_suit_green","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_green_leggings","apocalypsenow","legs","apocalypsenow:contamination_suit_green","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_white_boots","apocalypsenow","feet","apocalypsenow:contamination_suit_white","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_white_chestplate","apocalypsenow","chest","apocalypsenow:contamination_suit_white","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_white_helmet","apocalypsenow","head","apocalypsenow:contamination_suit_white","環境防護","T1-T3","標準部位名"
"apocalypsenow:contamination_suit_white_leggings","apocalypsenow","legs","apocalypsenow:contamination_suit_white","環境防護","T1-T3","標準部位名"
"apocalypsenow:cowboy_hat_helmet","apocalypsenow","head","apocalypsenow:cowboy_hat","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:desert_military_bulletproof_vest_chestplate","apocalypsenow","chest","apocalypsenow:desert_military_bulletproof_vest","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:desertcamo_6b_chestplate","apocalypsenow","chest","apocalypsenow:desertcamo_6b","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:desertghillie_boots","apocalypsenow","feet","apocalypsenow:desertghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:desertghillie_chestplate","apocalypsenow","chest","apocalypsenow:desertghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:desertghillie_helmet","apocalypsenow","head","apocalypsenow:desertghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:desertghillie_leggings","apocalypsenow","legs","apocalypsenow:desertghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:divingsuit_boots","apocalypsenow","feet","apocalypsenow:divingsuit","環境防護","T1-T3","標準部位名"
"apocalypsenow:divingsuit_chestplate","apocalypsenow","chest","apocalypsenow:divingsuit","環境防護","T1-T3","標準部位名"
"apocalypsenow:divingsuit_helmet","apocalypsenow","head","apocalypsenow:divingsuit","環境防護","T1-T3","標準部位名"
"apocalypsenow:divingsuit_leggings","apocalypsenow","legs","apocalypsenow:divingsuit","環境防護","T1-T3","標準部位名"
"apocalypsenow:fire_figther_boots","apocalypsenow","feet","apocalypsenow:fire_figther","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:fire_figther_chestplate","apocalypsenow","chest","apocalypsenow:fire_figther","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:fire_figther_helmet","apocalypsenow","head","apocalypsenow:fire_figther","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:fire_figther_leggings","apocalypsenow","legs","apocalypsenow:fire_figther","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:forestguard_boots","apocalypsenow","feet","apocalypsenow:forestguard","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:forestguard_chestplate","apocalypsenow","chest","apocalypsenow:forestguard","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:forestguard_helmet","apocalypsenow","head","apocalypsenow:forestguard","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:forestguard_leggings","apocalypsenow","legs","apocalypsenow:forestguard","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:gas_mask_helmet_helmet","apocalypsenow","head","apocalypsenow:gas_mask_helmet","環境防護","T1-T3","標準部位名"
"apocalypsenow:gas_tank_vest_chestplate","apocalypsenow","chest","apocalypsenow:gas_tank_vest","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:gasmask_helmet","apocalypsenow","head","apocalypsenow:gasmask","環境防護","T1-T3","標準部位名"
"apocalypsenow:gentex_hgu_56_p_helmet","apocalypsenow","head","apocalypsenow:gentex_hgu_56_p","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:ghilliesuit_boots","apocalypsenow","feet","apocalypsenow:ghilliesuit","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:ghilliesuit_chestplate","apocalypsenow","chest","apocalypsenow:ghilliesuit","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:ghilliesuit_helmet","apocalypsenow","head","apocalypsenow:ghilliesuit","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:ghilliesuit_leggings","apocalypsenow","legs","apocalypsenow:ghilliesuit","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:gpnvg_18_helmet_helmet","apocalypsenow","head","apocalypsenow:gpnvg_18_helmet","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:green_bikers_helmet","apocalypsenow","head","apocalypsenow:green_bikers","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:hardhat_helmet","apocalypsenow","head","apocalypsenow:hardhat","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:hazmat_suit_boots","apocalypsenow","feet","apocalypsenow:hazmat_suit","環境防護","T1-T3","標準部位名"
"apocalypsenow:hazmat_suit_chestplate","apocalypsenow","chest","apocalypsenow:hazmat_suit","環境防護","T1-T3","標準部位名"
"apocalypsenow:hazmat_suit_helmet","apocalypsenow","head","apocalypsenow:hazmat_suit","環境防護","T1-T3","標準部位名"
"apocalypsenow:hazmat_suit_leggings","apocalypsenow","legs","apocalypsenow:hazmat_suit","環境防護","T1-T3","標準部位名"
"apocalypsenow:helicopter_chestplate","apocalypsenow","chest","apocalypsenow:helicopter","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:helicopter_helmet","apocalypsenow","head","apocalypsenow:helicopter","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:high_visibility_jacket_chestplate","apocalypsenow","chest","apocalypsenow:high_visibility_jacket","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:hockey_boots","apocalypsenow","feet","apocalypsenow:hockey","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:hockey_chestplate","apocalypsenow","chest","apocalypsenow:hockey","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:hockey_helmet","apocalypsenow","head","apocalypsenow:hockey","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:hockey_leggings","apocalypsenow","legs","apocalypsenow:hockey","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:hunting_chestplate","apocalypsenow","chest","apocalypsenow:hunting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:hunting_helmet","apocalypsenow","head","apocalypsenow:hunting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:italian_bersaglieri_army_boots","apocalypsenow","feet","apocalypsenow:italian_bersaglieri_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:italian_bersaglieri_army_chestplate","apocalypsenow","chest","apocalypsenow:italian_bersaglieri_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:italian_bersaglieri_army_helmet","apocalypsenow","head","apocalypsenow:italian_bersaglieri_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:italian_bersaglieri_army_leggings","apocalypsenow","legs","apocalypsenow:italian_bersaglieri_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:japanese_army_boots","apocalypsenow","feet","apocalypsenow:japanese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:japanese_army_chestplate","apocalypsenow","chest","apocalypsenow:japanese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:japanese_army_helmet","apocalypsenow","head","apocalypsenow:japanese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:japanese_army_leggings","apocalypsenow","legs","apocalypsenow:japanese_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:jasonmask_helmet","apocalypsenow","head","apocalypsenow:jasonmask","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:jet_pilot_boots","apocalypsenow","feet","apocalypsenow:jet_pilot","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:jet_pilot_chestplate","apocalypsenow","chest","apocalypsenow:jet_pilot","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:jet_pilot_helmet","apocalypsenow","head","apocalypsenow:jet_pilot","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:jet_pilot_leggings","apocalypsenow","legs","apocalypsenow:jet_pilot","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:juggernaut_boots","apocalypsenow","feet","apocalypsenow:juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:juggernaut_chestplate","apocalypsenow","chest","apocalypsenow:juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:juggernaut_helmet","apocalypsenow","head","apocalypsenow:juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:juggernaut_leggings","apocalypsenow","legs","apocalypsenow:juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"apocalypsenow:level_a_hazmatsuit_boots","apocalypsenow","feet","apocalypsenow:level_a_hazmatsuit","環境防護","T3-T5","標準部位名"
"apocalypsenow:level_a_hazmatsuit_chestplate","apocalypsenow","chest","apocalypsenow:level_a_hazmatsuit","環境防護","T3-T5","標準部位名"
"apocalypsenow:level_a_hazmatsuit_helmet","apocalypsenow","head","apocalypsenow:level_a_hazmatsuit","環境防護","T3-T5","標準部位名"
"apocalypsenow:level_a_hazmatsuit_leggings","apocalypsenow","legs","apocalypsenow:level_a_hazmatsuit","環境防護","T3-T5","標準部位名"
"apocalypsenow:life_jacket_bullet_helmet_chestplate","apocalypsenow","chest","apocalypsenow:life_jacket_bullet_helmet","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:life_jacket_bullet_helmet_helmet","apocalypsenow","head","apocalypsenow:life_jacket_bullet_helmet","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:mcu2p_gasmask_helmet","apocalypsenow","head","apocalypsenow:mcu2p_gasmask","環境防護","T1-T3","標準部位名"
"apocalypsenow:mexican_army_boots","apocalypsenow","feet","apocalypsenow:mexican_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:mexican_army_chestplate","apocalypsenow","chest","apocalypsenow:mexican_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:mexican_army_helmet","apocalypsenow","head","apocalypsenow:mexican_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:mexican_army_leggings","apocalypsenow","legs","apocalypsenow:mexican_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_beret_chestplate","apocalypsenow","chest","apocalypsenow:military_beret","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_beret_helmet","apocalypsenow","head","apocalypsenow:military_beret","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_bulletprooft_vest_chestplate","apocalypsenow","chest","apocalypsenow:military_bulletprooft_vest","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_cap_helmet","apocalypsenow","head","apocalypsenow:military_cap","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_pilot_headset_chestplate","apocalypsenow","chest","apocalypsenow:military_pilot_headset","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_riot_armor_boots","apocalypsenow","feet","apocalypsenow:military_riot_armor","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:military_riot_armor_chestplate","apocalypsenow","chest","apocalypsenow:military_riot_armor","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:military_riot_armor_helmet","apocalypsenow","head","apocalypsenow:military_riot_armor","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:military_riot_armor_leggings","apocalypsenow","legs","apocalypsenow:military_riot_armor","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:military_urban_boots","apocalypsenow","feet","apocalypsenow:military_urban","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_urban_chestplate","apocalypsenow","chest","apocalypsenow:military_urban","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_urban_helmet","apocalypsenow","head","apocalypsenow:military_urban","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:military_urban_leggings","apocalypsenow","legs","apocalypsenow:military_urban","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:mo4_forest_camo_helmet","apocalypsenow","head","apocalypsenow:mo4_forest_camo","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:mo4_gas_mask_helmet","apocalypsenow","head","apocalypsenow:mo4_gas_mask","環境防護","T1-T3","標準部位名"
"apocalypsenow:mo4_mud_camo_helmet","apocalypsenow","head","apocalypsenow:mo4_mud_camo","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:nurse_boots","apocalypsenow","feet","apocalypsenow:nurse","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:nurse_chestplate","apocalypsenow","chest","apocalypsenow:nurse","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:nurse_leggings","apocalypsenow","legs","apocalypsenow:nurse","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:officer_beret_chestplate","apocalypsenow","chest","apocalypsenow:officer_beret","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:officer_beret_helmet","apocalypsenow","head","apocalypsenow:officer_beret","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:officer_hard_hat_helmet","apocalypsenow","head","apocalypsenow:officer_hard_hat","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:officer_helmet","apocalypsenow","head","apocalypsenow:officer","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:old_west_hat_helmet","apocalypsenow","head","apocalypsenow:old_west_hat","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:orange_visor_gas_mask_helmet","apocalypsenow","head","apocalypsenow:orange_visor_gas_mask","環境防護","T1-T3","標準部位名"
"apocalypsenow:patriotmotorcyclehelmet_helmet","apocalypsenow","head","apocalypsenow:patriotmotorcyclehelmet","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:pbf_hamstergasmask_helmet","apocalypsenow","head","apocalypsenow:pbf_hamstergasmask","環境防護","T1-T3","標準部位名"
"apocalypsenow:pink_bikers_helmet","apocalypsenow","head","apocalypsenow:pink_bikers","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:pkm_4gasmask_helmet","apocalypsenow","head","apocalypsenow:pkm_4gasmask","環境防護","T1-T3","標準部位名"
"apocalypsenow:plague_mask_helmet","apocalypsenow","head","apocalypsenow:plague_mask","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:police_boots","apocalypsenow","feet","apocalypsenow:police","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:police_chestplate","apocalypsenow","chest","apocalypsenow:police","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:police_helmet","apocalypsenow","head","apocalypsenow:police","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:police_leggings","apocalypsenow","legs","apocalypsenow:police","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:press_bulletproof_vest_chestplate","apocalypsenow","chest","apocalypsenow:press_bulletproof_vest","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:red_bikers_helmet","apocalypsenow","head","apocalypsenow:red_bikers","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:red_fighting_chestplate","apocalypsenow","chest","apocalypsenow:red_fighting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:red_fighting_helmet","apocalypsenow","head","apocalypsenow:red_fighting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:red_fighting_leggings","apocalypsenow","legs","apocalypsenow:red_fighting","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:red_football_armor_boots","apocalypsenow","feet","apocalypsenow:red_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:red_football_armor_chestplate","apocalypsenow","chest","apocalypsenow:red_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:red_football_armor_helmet","apocalypsenow","head","apocalypsenow:red_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:red_football_armor_leggings","apocalypsenow","legs","apocalypsenow:red_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:red_motorcycle_helmet_helmet","apocalypsenow","head","apocalypsenow:red_motorcycle_helmet","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:rou_respirator_helmet","apocalypsenow","head","apocalypsenow:rou_respirator","環境防護","T1-T3","標準部位名"
"apocalypsenow:royal_canada_police_officer_boots","apocalypsenow","feet","apocalypsenow:royal_canada_police_officer","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:royal_canada_police_officer_chestplate","apocalypsenow","chest","apocalypsenow:royal_canada_police_officer","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:royal_canada_police_officer_helmet","apocalypsenow","head","apocalypsenow:royal_canada_police_officer","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:royal_canada_police_officer_leggings","apocalypsenow","legs","apocalypsenow:royal_canada_police_officer","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:russian_army_boots","apocalypsenow","feet","apocalypsenow:russian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:russian_army_chestplate","apocalypsenow","chest","apocalypsenow:russian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:russian_army_helmet","apocalypsenow","head","apocalypsenow:russian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:russian_army_leggings","apocalypsenow","legs","apocalypsenow:russian_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:rusty_boots","apocalypsenow","feet","apocalypsenow:rusty","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:rusty_chestplate","apocalypsenow","chest","apocalypsenow:rusty","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:rusty_helmet","apocalypsenow","head","apocalypsenow:rusty","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:rusty_leggings","apocalypsenow","legs","apocalypsenow:rusty","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:sack_helmet","apocalypsenow","head","apocalypsenow:sack","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:sheriff_helmet","apocalypsenow","head","apocalypsenow:sheriff","衣服/装飾","T0-T2","標準部位名"
