"GunId","DisplayName","Pack","Region","Era","WeaponClass","SuggestedTier","SuggestedRarity","Review"
"maxstuff:genesis12_dragons_breath","Gen-12ﾂｧc(Dragons Breath)","maxstuff","西側/民間","新式","ショットガン","T2-T4","uncommon",""
"maxstuff:genesis12_fl","Gen-12ﾂｧe(Flechette)","maxstuff","西側/民間","新式","ショットガン","T2-T4","uncommon",""
"maxstuff:glock_18c","Glock 18","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:glock_54","MXA Glock 54","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:glock_bulpup","Bullpup Glock","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:gm6_lynx","GM6-Lynx","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:hk_g33","HK 33 Assault rifle","maxstuff","西側/民間","旧式","DMR/バトルライフル","T1-T3","common",""
"maxstuff:hk_mp5k","HK-MP5K","maxstuff","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"maxstuff:hk_mp5sd","HK-MP5SD","maxstuff","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"maxstuff:hk416c","HK-416C","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:hk417","HK-417","maxstuff","西側/民間","新式","DMR/バトルライフル","T3-T5","legendary",""
"maxstuff:honey_badger","Q Honey Badger","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:kar98","Kar98K","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:luty","Luty improvised smg","maxstuff","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"maxstuff:m1_garand","M1 Garand","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:m1_garand_tac","M1 Malone","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:m16a2","M16A2 Service Rifle","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:m16a3","M16A3 Service Rifle","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:m17","M17","maxstuff","西側/民間","新式","ハンドガン","T2-T4","uncommon","表示名要確認"
"maxstuff:m231","M231","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:m320t","M320 Tactical","maxstuff","西側/民間","新式","重火器","T3-T5","legendary",""
"maxstuff:m82a2","M82A2","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common","表示名要確認"
"maxstuff:m870t","M870 Tactical","maxstuff","西側/民間","新式","ショットガン","T2-T4","uncommon",""
"maxstuff:mini_fix","Q Mini Fix","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:mk11","MK11","maxstuff","西側/民間","旧式","DMR/バトルライフル","T1-T3","common","表示名要確認"
"maxstuff:mk18","MK18 Mod.1","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:mk18_auto","MK18-A","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:mk18_burst","MK18-B","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:mk18_mjolnir","Mk-18 Mjﾃｶlnir","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:mk23","HK MK23","maxstuff","西側/民間","旧式","ハンドガン","T0-T2","common",""
"maxstuff:mk47","MK47","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"maxstuff:mojave223","Mojave 223","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:mp7","HK-MP7","maxstuff","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"maxstuff:mrad","Barrett MRAD","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:msr","Remington MSR","maxstuff","西側/民間","旧式","スナイパー","T1-T3","common",""
"maxstuff:nailgun","nailgun","maxstuff","架空/その他","架空/特殊","特殊/ネタ","T5/原則除外","legendary","表示名要確認"
"maxstuff:potassium_power","Potassium Power","maxstuff","架空/その他","架空/特殊","特殊/ネタ","T5/原則除外","legendary","表示名要確認"
"maxstuff:qbz_97","QBZ-97 ""Longbow""","maxstuff","東側","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:quatro15","Desert Tech Quattro-15 (FRT)","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:ro635","Ro635","maxstuff","西側/民間","旧式","SMG/PDW","T0-T2","common","表示名要確認"
"maxstuff:rpk_74","RPK-74","maxstuff","東側","旧式","LMG","T1-T3","common",""
"maxstuff:rpk_74m","RPK-74M","maxstuff","東側","旧式","LMG","T1-T3","common",""
"maxstuff:rpk16","RPK-16","maxstuff","東側","新式","LMG","T3-T5","legendary",""
"maxstuff:saiga12","Saiga-12","maxstuff","東側","新式","ショットガン","T2-T4","uncommon",""
"maxstuff:saiga9","Saiga-9","maxstuff","東側","新式","SMG/PDW","T2-T4","uncommon",""
"maxstuff:sap6","Sap-6 (due remake, Creative Only For Now)","maxstuff","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"maxstuff:scar_15p","SCAR-15P","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:scar_hamr","SCAR-HAMR","maxstuff","西側/民間","新式","LMG","T3-T5","legendary",""
"maxstuff:scar_pdw","SCAR-PDW","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:scar_sbr","MXA SCAR-SBR","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:scar_ssr","SCAR-SSR","maxstuff","西側/民間","新式","DMR/バトルライフル","T3-T5","legendary",""
"maxstuff:sks_golden","Krtek Golden SKS","maxstuff","東側","旧式","DMR/バトルライフル","T1-T3","common",""
"maxstuff:sks_wooden","Wooden SKS","maxstuff","東側","旧式","DMR/バトルライフル","T1-T3","common",""
"maxstuff:sr15","SR15","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"maxstuff:sr16","SR16","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"maxstuff:thunderbird","Thunderbird","maxstuff","西側/民間","旧式","ショットガン","T0-T2","common","表示名要確認"
"maxstuff:thunderbird_short","Thunderbird Short","maxstuff","西側/民間","旧式","ショットガン","T0-T2","common","表示名要確認"
"maxstuff:udp9","UDP-9","maxstuff","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"maxstuff:ump9","UMP9 SMG","maxstuff","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"maxstuff:vector9","Vector 9mm","maxstuff","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"maxstuff:vityas","PP-19 Vityaz","maxstuff","東側","新式","SMG/PDW","T2-T4","uncommon",""
"maxstuff:xm177","XM177","maxstuff","西側/民間","新式","ハンドガン","T2-T4","uncommon","表示名要確認"
"maxstuff:z15","Z-15","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:z15_a","Z-15 Auto","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"maxstuff:z80","Z80","maxstuff","西側/民間","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"tacz:aa12","AA12 Shotgun","tacz_default_gun","西側/民間","旧式","ショットガン","T0-T2","common",""
"tacz:ai_awp","Accuracy International AWM","tacz_default_gun","西側/民間","旧式","スナイパー","T1-T3","common",""
"tacz:ak47","AKM","tacz_default_gun","東側","旧式","アサルトライフル","T1-T3","common",""
"tacz:aug","AUG","tacz_default_gun","西側/民間","旧式","アサルトライフル","T1-T3","common","表示名要確認"
"tacz:b93r","B93R","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common","表示名要確認"
"tacz:cz75","CZ 75","tacz_default_gun","東側","旧式","ハンドガン","T0-T2","common",""
"tacz:db_long","DB-4 Ursus","tacz_default_gun","西側/民間","旧式","ショットガン","T0-T2","common",""
"tacz:db_short","DB-2 Durin","tacz_default_gun","西側/民間","旧式","ショットガン","T0-T2","common",""
"tacz:deagle","Deagle 50","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common",""
"tacz:deagle_golden","Golden Deagle 357","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common",""
"tacz:fn_evolys","FN EVOLYS Machine Gun","tacz_default_gun","西側/民間","新式","LMG","T3-T5","legendary",""
"tacz:fn_fal","FN FAL Battle Rifle","tacz_default_gun","西側/民間","旧式","DMR/バトルライフル","T1-T3","common",""
"tacz:g36k","G36K","tacz_default_gun","西側/民間","新式","アサルトライフル","T2-T4","uncommon","表示名要確認"
"tacz:glock_17","Glock 17","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common","表示名要確認"
"tacz:hk_g3","HK G3 Battle rifle","tacz_default_gun","西側/民間","旧式","DMR/バトルライフル","T1-T3","common",""
"tacz:hk_mk23","MK23 Offensive Pistol","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common",""
"tacz:hk_mp5a5","HK-MP5A5","tacz_default_gun","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"tacz:hk416d","HK-416A5","tacz_default_gun","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"tacz:kar98","Mauser Kar98k Rifle","tacz_default_gun","西側/民間","旧式","スナイパー","T1-T3","common",""
"tacz:lonetrail",".30-06 Lonetrail Hand Cannon","tacz_default_gun","架空/その他","架空/特殊","スナイパー","T5/原則除外","legendary",""
"tacz:m1014","M1014 Battle Shotgun","tacz_default_gun","西側/民間","旧式","ショットガン","T0-T2","common",""
"tacz:m107","M107 Sniper Rifle","tacz_default_gun","西側/民間","旧式","スナイパー","T1-T3","common",""
"tacz:m16a1","M16A1 Service Rifle","tacz_default_gun","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"tacz:m16a4","M16A4 Service Rifle","tacz_default_gun","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"tacz:m1911","M1911","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common","表示名要確認"
"tacz:m249","M249 Machine Gun","tacz_default_gun","西側/民間","旧式","LMG","T1-T3","common",""
"tacz:m320","M320 Grenade Launcher","tacz_default_gun","西側/民間","旧式","重火器","T3-T5","legendary",""
"tacz:m4a1","M4A1 Carbine","tacz_default_gun","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"tacz:m700","M700 Sniper Rifle","tacz_default_gun","西側/民間","旧式","スナイパー","T1-T3","common",""
"tacz:m870","M870","tacz_default_gun","西側/民間","旧式","ショットガン","T0-T2","common","表示名要確認"
"tacz:m95","M95 .50 Cal Antimaterial","tacz_default_gun","西側/民間","旧式","スナイパー","T1-T3","common",""
"tacz:m9a4","M9A4","tacz_default_gun","西側/民間","新式","ハンドガン","T2-T4","uncommon","表示名要確認"
"tacz:minigun","M134 Minigun","tacz_default_gun","西側/民間","旧式","重火器","T3-T5","legendary",""
"tacz:mk14","MK14 EBR","tacz_default_gun","西側/民間","旧式","DMR/バトルライフル","T1-T3","common",""
"tacz:p320","P320","tacz_default_gun","西側/民間","新式","ハンドガン","T2-T4","uncommon","表示名要確認"
"tacz:p90","P90 PDW","tacz_default_gun","西側/民間","旧式","SMG/PDW","T0-T2","common",""
"tacz:qbz_191","QBZ-191 Assault Rifle","tacz_default_gun","東側","新式","アサルトライフル","T2-T4","uncommon",""
"tacz:qbz_95","QBZ-95 ""Longbow""","tacz_default_gun","東側","旧式","アサルトライフル","T1-T3","common",""
"tacz:rhino357",".357 Rhino Revolver","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common",""
"tacz:rpg7","RPG-7","tacz_default_gun","東側","旧式","重火器","T3-T5","legendary",""
"tacz:rpk","RPK","tacz_default_gun","東側","旧式","LMG","T1-T3","common","表示名要確認"
"tacz:scar_h","SCAR-H Battle Rifle","tacz_default_gun","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"tacz:scar_l","SCAR-L Assault Rifle","tacz_default_gun","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"tacz:sks_tactical","Sks Tactical Rifle","tacz_default_gun","東側","新式","DMR/バトルライフル","T3-T5","legendary",""
"tacz:spas_12","SPAS-12 Multi-purpose Shotgun","tacz_default_gun","西側/民間","旧式","ショットガン","T0-T2","common",""
"tacz:spr15hb","SPR-15 HB ""Sagittarius""","tacz_default_gun","西側/民間","新式","アサルトライフル","T2-T4","uncommon",""
"tacz:springfield1873","Springfield 1873 Trapdoor Rifle","tacz_default_gun","西側/民間","旧式","アサルトライフル","T1-T3","common",""
"tacz:taurus500","Taurus ""Raging Hunter"" Hand Cannon","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common",""
"tacz:taurus943",".22 Modle 943 Revolver","tacz_default_gun","西側/民間","旧式","ハンドガン","T0-T2","common",""
"tacz:timeless50","ﾂｧ6Timeless .50 Z-Type","tacz_default_gun","架空/その他","架空/特殊","スナイパー","T5/原則除外","legendary",""
"tacz:type_81","Type 81-1 Service Rifle","tacz_default_gun","東側","旧式","アサルトライフル","T1-T3","common",""
"tacz:ump45","UMP45 SMG","tacz_default_gun","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
"tacz:uzi","UZI","tacz_default_gun","西側/民間","旧式","SMG/PDW","T0-T2","common","表示名要確認"
"tacz:vector45","Vector SMG","tacz_default_gun","西側/民間","新式","SMG/PDW","T2-T4","uncommon",""
